number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_l1_reg,params_l2_reg,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
824,0.5707552085141623,2023-04-26 14:03:57.643094,2023-04-26 14:04:01.748421,0 days 00:00:04.105327,0.5361249042014808,0.08511597671756106,0.6043026993000722,0.3323538172368283,0.22563365463519688,5,8,0.999282758208413,0.5755150818568396,0.5758727255480347,,,COMPLETE
741,0.5708084844664989,2023-04-26 14:02:04.837571,2023-04-26 14:02:08.860650,0 days 00:00:04.023079,0.5347541781380099,0.11299712669502983,0.025191554151768766,1.5934250185170948,0.2511192455550668,4,12,0.999526312493589,0.5768849378568092,0.5745128763271737,,,COMPLETE
908,0.5708254779203986,2023-04-26 14:05:57.905212,2023-04-26 14:06:01.815068,0 days 00:00:03.909856,0.5086579562607314,0.03081503739141982,0.13120695946804306,0.34136823935935595,0.26368595165467534,4,10,0.8733956648605207,0.5740543456906692,0.5756109147633843,,,COMPLETE
955,0.5708349261637599,2023-04-26 14:06:57.437455,2023-04-26 14:07:01.466865,0 days 00:00:04.029410,0.5171370459335428,0.0168098429784354,0.14790309873979632,0.4171174556059656,0.25183334119827927,4,3,0.8927724683176385,0.5741290831918221,0.5752359587054208,,,COMPLETE
839,0.571914930050928,2023-04-26 14:04:18.085348,2023-04-26 14:04:22.128471,0 days 00:00:04.043123,0.5001198236947066,0.030608578617681098,0.015773292100833808,0.26888945523713265,0.23387040149427374,4,9,0.6744473935058563,0.5755913938543461,0.5755779875147129,,,COMPLETE
819,0.5719191978336714,2023-04-26 14:03:49.091000,2023-04-26 14:03:53.066218,0 days 00:00:03.975218,0.554341702134194,0.08610681018468735,0.01640437412163448,0.21336982624396894,0.23089363171074953,4,3,0.986683036124572,0.5768483508410663,0.5729109502791836,,,COMPLETE
481,0.5719247441944741,2023-04-26 13:56:39.234906,2023-04-26 13:56:43.123985,0 days 00:00:03.889079,0.5342299332313618,0.11670101885567262,0.054503022747738585,0.8221654601199553,0.23423713647975758,4,8,0.6793630639126838,0.5731635152201489,,,,COMPLETE
636,0.5721042995596447,2023-04-26 13:59:50.801760,2023-04-26 13:59:55.025299,0 days 00:00:04.223539,0.5230634959035911,0.0336505750027665,0.6465771690336244,0.7757155632512176,0.1854661820179879,4,7,0.5941299596954135,0.5723869608918444,,,,COMPLETE
479,0.5722332589190543,2023-04-26 13:56:34.215923,2023-04-26 13:56:38.141320,0 days 00:00:03.925397,0.5379805904485487,0.11299216927690785,0.04975861429348555,0.8390083377549488,0.23611553001122612,4,8,0.7048605839454661,0.5763856276812223,0.5748651152906722,,,COMPLETE
678,0.5725981615105802,2023-04-26 14:00:44.435884,2023-04-26 14:00:48.470460,0 days 00:00:04.034576,0.5006908332804495,0.13809972799573011,0.42980157744365405,0.8369679262115914,0.23263434969419813,4,14,0.5714910740855618,0.5756976710967288,0.5742090544390576,,,COMPLETE
477,0.572612246218343,2023-04-26 13:56:29.221587,2023-04-26 13:56:33.130834,0 days 00:00:03.909247,0.541368811332138,0.11263416987754997,0.045352298767815845,0.8520798611551232,0.18809129658134563,4,8,0.7024151483360586,0.5710519435735428,,,,COMPLETE
489,0.5726377958565652,2023-04-26 13:56:50.933251,2023-04-26 13:56:54.916559,0 days 00:00:03.983308,0.5389158812972588,0.09957967205865681,0.011682450273793775,0.8224444342821177,0.24829376354041066,4,8,0.7115481344166891,0.5755149245137797,0.5763254777029982,,,COMPLETE
639,0.5729674739808521,2023-04-26 13:59:57.273021,2023-04-26 14:00:01.313794,0 days 00:00:04.040773,0.5113279899220463,0.030945421215432357,0.6200292246873272,1.34567187085383,0.197593954587894,4,6,0.5565426969429618,0.5741221533350656,,,,COMPLETE
338,0.5733632855325396,2023-04-26 13:53:30.828240,2023-04-26 13:53:34.773129,0 days 00:00:03.944889,0.7075718709394199,0.03653906897288268,0.028433330787436695,0.8438363620696936,0.2900540051494454,4,4,0.7638442117412187,0.5923528426472481,0.5718157401637817,0.5794739088383533,,COMPLETE
939,0.5733829591196137,2023-04-26 14:06:36.062377,2023-04-26 14:06:40.258806,0 days 00:00:04.196429,0.644388253609236,0.01614826780981948,0.18158587138864496,0.2244156028259801,0.2476219954306779,5,10,0.9893992485454882,0.5966498563533964,0.5735573842285061,0.5770133542502888,,COMPLETE
722,0.573402152017568,2023-04-26 14:01:40.422608,2023-04-26 14:01:44.487853,0 days 00:00:04.065245,0.5547857834236481,0.12667928377860654,0.029801336674651766,1.9233901208931476,0.2265486318189009,4,14,0.8494264200567596,0.577016834509605,0.5739507698824475,,,COMPLETE
271,0.5735512805526526,2023-04-26 13:52:03.888696,2023-04-26 13:52:07.801622,0 days 00:00:03.912926,0.7074598455482138,0.039378671342050815,0.02179996263810198,0.8528305069661642,0.2946731662734056,4,12,0.7295555933465132,0.6150344102341303,0.5917083677048812,0.5711650076427548,0.5777910942056611,COMPLETE
875,0.5735669172090708,2023-04-26 14:05:11.755739,2023-04-26 14:05:15.787389,0 days 00:00:04.031650,0.5176864730347996,0.08023875801188851,0.017801447909050087,0.3259264469323862,0.1736724123772738,4,9,0.9551544274236492,0.5714548181712688,,,,COMPLETE
887,0.5736811929061372,2023-04-26 14:05:28.242217,2023-04-26 14:05:32.169772,0 days 00:00:03.927555,0.5485109154882118,0.09846185453085876,0.5108671050095336,0.1524291640582885,0.2209140910630516,4,9,0.7165698814150783,0.5746685430031437,,,,COMPLETE
469,0.5738844037565943,2023-04-26 13:56:17.263544,2023-04-26 13:56:21.401197,0 days 00:00:04.137653,0.692026807328971,0.11246608106359571,0.013580024571612555,0.8359251795217315,0.17671330991193224,5,11,0.9181260160124154,0.5762105974483863,,,,COMPLETE
383,0.573970312258908,2023-04-26 13:54:30.474262,2023-04-26 13:54:34.429214,0 days 00:00:03.954952,0.5514515395529901,0.04359477061613098,0.04088647323099286,0.5870983499407154,0.19076459368074955,4,12,0.77056473956721,0.5735665503410384,,,,COMPLETE
