number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
125,1.0651192665100098,2023-04-25 13:51:30.855987,2023-04-25 13:51:33.269426,0 days 00:00:02.413439,0.006605130089719556,16,0.0008505422942134826,0.009847449139582014,3,1.010866641998291,1.0651192665100098,,,PRUNED
14,1.067065715789795,2023-04-25 13:42:43.378759,2023-04-25 13:42:46.451106,0 days 00:00:03.072347,0.005790457329923791,8,0.00010728100671403404,0.02177679351276505,4,1.067065715789795,,,,PRUNED
247,1.0671592950820923,2023-04-25 13:59:51.927653,2023-04-25 13:59:53.068915,0 days 00:00:01.141262,0.004136291241678039,22,0.0001291473391269295,0.03944925252681817,2,1.0671592950820923,,,,PRUNED
4,1.067370057106018,2023-04-25 13:41:23.812195,2023-04-25 13:41:25.147503,0 days 00:00:01.335308,0.006938136557889339,22,0.00012219045195331908,0.0366433583008456,2,1.067370057106018,,,,PRUNED
236,1.0711554288864136,2023-04-25 13:59:12.580036,2023-04-25 13:59:15.625656,0 days 00:00:03.045620,0.006756993097706169,10,0.0006892344634241037,0.0027060072991849458,4,1.0711554288864136,,,,PRUNED
201,1.0723172426223755,2023-04-25 13:56:35.042474,2023-04-25 13:56:36.740188,0 days 00:00:01.697714,0.006155942806368831,22,0.002408299733109225,0.018495737107066437,3,1.0723172426223755,,,,PRUNED
78,1.0725122690200806,2023-04-25 13:47:53.140671,2023-04-25 13:48:00.076781,0 days 00:00:06.936110,0.004665374972499306,20,0.0003492400166144514,0.008308997988274322,4,1.0725122690200806,,,,PRUNED
85,1.076238751411438,2023-04-25 13:48:41.261727,2023-04-25 13:48:43.866664,0 days 00:00:02.604937,0.00588392963490734,26,0.00014131624791733784,0.006407103136316335,4,1.076238751411438,,,,PRUNED
157,1.0790486335754395,2023-04-25 13:53:16.362163,2023-04-25 13:53:17.954133,0 days 00:00:01.591970,0.002545401330079617,16,0.0005978295392812806,0.006479458231170362,4,1.0790486335754395,,,,PRUNED
169,1.0827746391296387,2023-04-25 13:53:46.360581,2023-04-25 13:53:49.111722,0 days 00:00:02.751141,0.005413062040296117,28,0.0003272042890285154,0.0063434702620480225,4,1.0827746391296387,,,,PRUNED
