number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
463,0.5722213756037047,2023-05-02 14:30:00.868124,2023-05-02 14:30:02.078980,0 days 00:00:01.210856,0.033103720530590096,0.0013808745630867765,0.5722213756037047,,,,PRUNED
251,0.5722486938958629,2023-05-02 14:25:20.612082,2023-05-02 14:25:21.636851,0 days 00:00:01.024769,0.00012286296618407665,0.0038470324639745448,0.5722486938958629,,,,PRUNED
362,0.5722704866494431,2023-05-02 14:27:42.684720,2023-05-02 14:27:43.680683,0 days 00:00:00.995963,0.01765235608244638,0.0020080540317780654,0.5722704866494431,,,,PRUNED
229,0.5722719606808973,2023-05-02 14:24:40.577199,2023-05-02 14:24:41.759872,0 days 00:00:01.182673,0.0005746497761696706,0.003863905850814297,0.5722719606808973,,,,PRUNED
269,0.5722722045928217,2023-05-02 14:25:42.705735,2023-05-02 14:25:43.752735,0 days 00:00:01.047000,0.15688617007726535,0.002134086255055706,0.5722722045928217,,,,PRUNED
490,0.5722811830859925,2023-05-02 14:30:39.646136,2023-05-02 14:30:40.688891,0 days 00:00:01.042755,0.03133494655914316,0.003661898879248516,0.5722811830859925,,,,PRUNED
318,0.5723018118452351,2023-05-02 14:26:48.983802,2023-05-02 14:26:49.986734,0 days 00:00:01.002932,0.03719247997295292,0.003445823885465765,0.5723018118452351,,,,PRUNED
240,0.572348128382838,2023-05-02 14:24:59.013972,2023-05-02 14:25:00.015832,0 days 00:00:01.001860,0.05713729464416821,0.001992096051631923,0.572348128382838,,,,PRUNED
126,0.572348182237018,2023-05-02 14:21:06.626282,2023-05-02 14:21:07.836554,0 days 00:00:01.210272,0.0027708023651213387,0.0012497511550475123,0.572348182237018,,,,PRUNED
36,0.5723522920253308,2023-05-02 14:18:14.931306,2023-05-02 14:18:15.948081,0 days 00:00:01.016775,0.06180739232564471,0.001544402292005379,0.5730181874002136,0.5723522920253308,,,PRUNED
109,0.5723598821500974,2023-05-02 14:20:32.224607,2023-05-02 14:20:33.261718,0 days 00:00:01.037111,0.1471640679802864,0.0018653380922878527,0.5723598821500974,,,,PRUNED
186,0.5723698628395141,2023-05-02 14:23:11.859009,2023-05-02 14:23:12.908486,0 days 00:00:01.049477,0.04814297433820077,0.0036150388756393415,0.5723698628395141,,,,PRUNED
55,0.5723797669039007,2023-05-02 14:18:48.574705,2023-05-02 14:18:49.588936,0 days 00:00:01.014231,0.1403386270501758,0.002834770315215201,0.5726404333270179,0.5723797669039007,,,PRUNED
442,0.5723843114688734,2023-05-02 14:29:37.997076,2023-05-02 14:29:38.972832,0 days 00:00:00.975756,0.04869894975515243,0.0034601673965263717,0.5723843114688734,,,,PRUNED
299,0.5724087860673471,2023-05-02 14:26:25.279260,2023-05-02 14:26:26.477219,0 days 00:00:01.197959,0.00019560129609232264,0.0039910276129956805,0.5724087860673471,,,,PRUNED
455,0.5724094802012091,2023-05-02 14:29:52.142524,2023-05-02 14:29:53.204762,0 days 00:00:01.062238,0.03646652631258777,0.0037577315527008853,0.5724094802012091,,,,PRUNED
