number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
409,0.7449296667901124,2023-07-10 14:37:58.968283,2023-07-10 14:38:03.492299,0 days 00:00:04.524016,0.2217130434022219,0.0003975570731779741,16.0,0.7376282762943454,,,,COMPLETE
28,0.7449311889174025,2023-07-10 14:26:40.281692,2023-07-10 14:26:44.763698,0 days 00:00:04.482006,0.2026071611899256,0.00038969075792514343,14.0,0.7390782454186048,0.7377017323432117,,,COMPLETE
180,0.7449315377611093,2023-07-10 14:31:33.884727,2023-07-10 14:31:38.879173,0 days 00:00:04.994446,0.13763324105805236,0.0003683275473065529,13.0,0.7393180734871748,0.7376719737681349,,,COMPLETE
317,0.7449334344951662,2023-07-10 14:35:39.776854,2023-07-10 14:35:44.863208,0 days 00:00:05.086354,0.20192067741276548,0.0003403295956529038,20.0,0.7375640572464691,,,,COMPLETE
136,0.744939174426703,2023-07-10 14:29:54.238915,2023-07-10 14:29:59.123999,0 days 00:00:04.885084,0.13298115072514757,0.00034148708365640246,18.0,0.737527424674233,,,,COMPLETE
15,0.7449433957803479,2023-07-10 14:26:18.946320,2023-07-10 14:26:23.287787,0 days 00:00:04.341467,0.17007160846841962,0.0004472878574610146,15.0,0.7423359212196878,0.7391365444071559,0.737752318954441,,COMPLETE
125,0.7449511359609454,2023-07-10 14:29:33.707136,2023-07-10 14:29:38.105801,0 days 00:00:04.398665,0.20281256981488976,0.0004393094414995637,15.0,0.7376687302105521,,,,COMPLETE
464,0.7449570361077628,2023-07-10 14:39:15.630566,2023-07-10 14:39:20.222964,0 days 00:00:04.592398,0.20127338371373535,0.0004302501242485497,11.0,0.7387636682301196,0.7376055163674515,,,COMPLETE
211,0.7449605408715074,2023-07-10 14:32:33.903939,2023-07-10 14:32:38.748350,0 days 00:00:04.844411,0.10409356819000806,0.0004009994147536351,13.0,0.7388426613736307,0.7376500123556949,,,COMPLETE
432,0.7449702430681021,2023-07-10 14:38:33.218898,2023-07-10 14:38:37.947035,0 days 00:00:04.728137,0.1764930176215995,0.0003270034056996472,22.0,0.7376536456290953,,,,COMPLETE
175,0.7449725439031921,2023-07-10 14:31:20.798384,2023-07-10 14:31:25.410117,0 days 00:00:04.611733,0.1250394038551104,0.0004041679185065081,12.0,0.7422348156295134,0.7387369262407609,0.7375056639987052,,COMPLETE
257,0.7449733664821464,2023-07-10 14:33:56.770988,2023-07-10 14:34:01.492409,0 days 00:00:04.721421,0.14550384993566703,0.00042914805007314964,12.0,0.7389528381883412,0.7376295213084172,,,COMPLETE
